,index,number,body
0,0,785,"### Duplicates

- [X] I have searched the existing issues

### Summary 💡

Right now Auto-GPT does not provide any feedback on the goals and role etc.

To make sure it understood the assignment, it would be much better for it to reinterpret the prompt.

That way it's more of a dialogue than just an assignment that get's never updated.

Also adding another prompt command ""reevaluate_assignment"" or something would be great then.

### Examples 🌈

I already instructed Auto-GPT to build such a script,
it didn't finish and started doing that weird gpt-2 clone and tryint to execute gpt-2 training.

But this script kindda made sense:

``` analyze_code.py
import yaml
from typing import List

def analyze_code(code: str) -> List[str]:
    try:
        with open('ai_settings.yaml', 'r') as file:
            ai_settings = yaml.safe_load(file)
            current_goals_dict = ai_settings['ai_goals']
            current_goals = list(current_goals_dict.values())
    except FileNotFoundError:
        return ['Error: ai_settings.yaml file not found.']
    except yaml.YAMLError:
        return ['Error: ai_settings.yaml file is not valid YAML.']
    
    try:
        with open('new_goals.txt', 'r') as file:
            new_goals = [goal.strip() for goal in file.readlines()]
    except FileNotFoundError:
        return ['Error: new_goals.txt file not found.']
    
    revised_goals = list(set(current_goals) | set(new_goals))
    
    revised_goals_dict = {'goal'+str(i): goal for i, goal in enumerate(revised_goals)}
    ai_settings['ai_goals'] = revised_goals_dict
    
    try:
        with open('ai_settings.yaml', 'w') as file:
            yaml.dump(ai_settings, file)
            return ['Updated goals:'] + revised_goals
    except:
        return ['Error: failed to write to ai_settings.yaml file.']
```

### Motivation 🔦

_No response_"
1,1,778,"### Duplicates

- [X] I have searched the existing issues

### Steps to reproduce 🕹

1. Run Auto-GPT as Docker image via VS Code.
2. Provide goals for Auto-GPT.
3. Write ""y"" command few times.
4. Write ""y -10"" command few times.
5. Suddenly Auto-GPT fails after another ""y -10"" command
6. Auto-GPT terminated

### Current behavior 😯

```txt
NEXT ACTION:  COMMAND = start_agent ARGUMENTS = {'name': 'DiplomacyChallengeSolver', 'task': 'placeholder'}
Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for Peacemaker-AI...
Input:y -10

**Traceback (most recent call last):
  File ""/app/main.py"", line 406, in <module>
    memory.add(memory_to_add)
  File ""/app/memory/local.py"", line 64, in add
    out = orjson.dumps(
          ^^^^^^^^^^^^^
TypeError: str is not valid UTF-8: surrogates not allowed**
```

### Expected behavior 🤔

1. No exception after ""y -10"" command
2. Workaround for this type of exception to prevent Auto-GPT from termination

### Your prompt 📝

```yaml
# Paste your prompt here
```"
2,2,766,"<!-- 📢 Announcement
We've recently noticed an increase in pull requests focusing on combining multiple changes. While the intentions behind these PRs are appreciated, it's essential to maintain a clean and manageable git history. To ensure the quality of our repository, we kindly ask you to adhere to the following guidelines when submitting PRs:

Focus on a single, specific change.
Do not include any unrelated or ""extra"" modifications.
Provide clear documentation and explanations of the changes made.
Ensure diffs are limited to the intended lines — no applying preferred formatting styles or line endings (unless that's what the PR is about).
For guidance on committing only the specific lines you have changed, refer to this helpful video: https://youtu.be/8-hSNHHbiZg

By following these guidelines, your PRs are more likely to be merged quickly after testing, as long as they align with the project's overall direction. -->

### Background
<!-- Provide a concise overview of the rationale behind this change. Include relevant context, prior discussions, or links to related issues. Ensure that the change aligns with the project's overall direction. -->

A user can communicate with Auto-GPT in a language other than English that does not contain the letters y, n. In this case, the user have to change the keyboard layout between simple and text response to English and back. The numbers are (most likely) the same in any layout.

### Changes
<!-- Describe the specific, focused change made in this pull request. Detail the modifications clearly and avoid any unrelated or ""extra"" changes. -->

The addition of 1/0 has been added as alternatives to y/n in the main.py script to allow non-English speaking users to communicate with Auto-GPT more easily.

### Documentation
<!-- Explain how your changes are documented, such as in-code comments or external documentation. Ensure that the documentation is clear, concise, and easy to understand. -->

In the main.py script, a comment has been added to explain that 1/0 can be used as an alternative to y/n for non-English speaking users.

### Test Plan
<!-- Describe how you tested this functionality. Include steps to reproduce, relevant test cases, and any other pertinent information. -->

To test this functionality, I performed the following steps:
- Changed the keyboard layout to a language other than English that does not contain the letters y, n.
- Prompted Auto-GPT for a response that requires a y/n input.
- Verified that entering 1/0 instead of y/n returned the expected response from Auto-GPT.

As this is a relatively small and straightforward change, no new test cases were added.

### PR Quality Checklist
- [x] My pull request is atomic and focuses on a single change.
- [x] I have thouroughly tested my changes with multiple different prompts.
- [x] I have considered potential risks and mitigations for my changes.
- [x] I have documented my changes clearly and comprehensively.
- [x] I have not snuck in any ""extra"" small tweaks changes <!-- Submit these as seperate Pull Reqests, they are the easiest to merge! -->

<!-- If you haven't added tests, please explain why. If you have, check the appropriate box. If you've ensured your PR is atomic and well-documented, check the corresponding boxes. -->

<!-- By submitting this, I agree that my pull request should be closed if I do not fill this out or follow the guide lines. -->
"
3,3,765,"<!-- 📢 Announcement
We've recently noticed an increase in pull requests focusing on combining multiple changes. While the intentions behind these PRs are appreciated, it's essential to maintain a clean and manageable git history. To ensure the quality of our repository, we kindly ask you to adhere to the following guidelines when submitting PRs:

Focus on a single, specific change.
Do not include any unrelated or ""extra"" modifications.
Provide clear documentation and explanations of the changes made.
Ensure diffs are limited to the intended lines — no applying preferred formatting styles or line endings (unless that's what the PR is about).
For guidance on committing only the specific lines you have changed, refer to this helpful video: https://youtu.be/8-hSNHHbiZg

By following these guidelines, your PRs are more likely to be merged quickly after testing, as long as they align with the project's overall direction. -->

### Background
The goal is to build an AGI. This AGI might be one single Auto-GPT that loops against itself, but I doubt it because the LLM is super slow. We can't expect to have something that has high computing power with only one autonomous agent. And we can't have one agent per computing machine, that's stupid, because most of the time the running process will just hang and do nothing, waiting for Open AI to give back an answer. Waste of resources. Running multiple agents in different tabs is not ideal either because processes are heavier than threads.
On the current PR I was able to spawn 20 concurrent workers simultaneously without any problem.

So I think that in order to build an AGI, we need to build an entity able to:
- Define autonomous agents.
- Start autonomous agents
- Monitor autonomous agents. This means being able to identify all the meaningful events happening to them and talk to them. (this is not part of this PR unfortunately, it's too many changes at once, but I have a branch ready for it) => 
- Stop these workers when necessary.

Which programmatic language is the AGI going to use to do that? A proper, well-defined REST API is the way to go, we can only do so much with a CLI.

This AGI will talk to its workers through rest api calls, which are nothing more than JSON sent over the network.

At the beginning we will be playing the AGI, so we will use these endpoints to communicate with our agents, through a web browser UI.

### Changes
Now let's come back to reality, I had to work with what the repo provides, so I made the smallest changes possible to achieve these goals. **The first thing I want to say, is that my changes won't affect the users in any way. All the existing features are preserved and unchanged.**

Additions to the repo **that are all necessary to achieve this User Story** (I insist they're all necessary to be merged together):
- A well-structured web server with FastAPI.
- Solid integration tests, extremely readable because all the expected requests and responses are written. These integration tests record the behavior of the autonomous agents. I will use these tests to maintain an automatically generated documentation of auto-gpt api. 
- The integration tests work with GPT3.5 and the cost is very small. Talking about cost, @Torantulino please create an online bank account for auto-gpt organization so we can wire money and pay for an api key that will use to call open AI within github action. You can keep the key private. I will wire 100$ to the bank account when you have it ready. Also, I know some companies interested sponsoring auto-gpt, so reach out to me on discord.
- Ability to stop an autonomous agent gracefully, without forcing it. Each agent runs in separates threads.
- a NoMemory class. Why is that ? Because right now memories are shared accross the same worker !!! So it means if we spawn multiple autonomous agents, they will step into each other's toes. The great news is that NoMemory is actually super performant, I have tested it and it performs oftentimes better than pinecone, mostly because we load an ugly JSON of all the past memories and it confuses the AI. Particularly with GPT 3.5. It turns out summarizing the content as we go and loosing any non essential information can be great for short tasks.
- the server is currently in a folder called app with the right project structure for a project of this size. This was the easiest way to do it without breaking the whole repo. This repo has no module, and I can't put the api under a folder called ""scripts"", that's beyond me :)

CHANGES to the repo:
- finally wrap the main.py into an ""if ___main___"", otherwise nothing in this project is reusable, right now I can't import the main.py without starting the loop haha
- create the autonomous agent class so that it can start the start_loop method
- create attributes of the class. It's pretty much adding self everywhere.
- The temperature is currently None in the repo which means 1. The values are between 0 and 2. For my tests I need a very consistent LLM, so I need 0. So I just put an environment variable. The value will still be 1 for others and nothing changes. (I recommend putting the default value to 0 by the way this is a game changer, but that's another story...)

### Documentation
Look at the tests, they document clearly the following requests and responses as well as the output of the worker:
2 integration tests at the moment: 
- Autonomous agent defined (POST), started (PATCH) STOPPED immediately after starting (PATCH)
- Autonomous agent defined (POST), started (PATCH), Writes a file and shuts down on its own. When we try to shut it down we get a 500 because it's already down.
![Screenshot 2023-04-10 at 8 32 34 PM](https://user-images.githubusercontent.com/9652976/231049456-95d0950e-8996-4766-a61a-1fe0f5cb9999.png)
![Screenshot 2023-04-10 at 8 32 29 PM](https://user-images.githubusercontent.com/9652976/231049458-55217c4c-ead9-4e15-a5fb-89a83cb428f5.png)
![Screenshot 2023-04-10 at 8 32 24 PM](https://user-images.githubusercontent.com/9652976/231049459-ba1fc769-2b78-49e9-99e6-1bcf25dba8c4.png)
![Screenshot 2023-04-10 at 8 32 16 PM](https://user-images.githubusercontent.com/9652976/231049461-ca10c4ff-95a2-41d8-9cd6-223b26c94e33.png)




### Test Plan
The CLI has to keep working !!! So I tested it thoroughly Here is one run example.
<img width=""1492"" alt=""Screenshot 2023-04-10 at 8 27 02 PM"" src=""https://user-images.githubusercontent.com/9652976/231049559-304ab597-704f-44a1-8715-4d5ef560052c.png"">
<img width=""1491"" alt=""Screenshot 2023-04-10 at 8 27 12 PM"" src=""https://user-images.githubusercontent.com/9652976/231049569-332316fe-07a8-4c95-99db-c9fb9de46541.png"">
### PR Quality Checklist
- [X] My pull request is atomic and focuses on a single change.
- [X] I have thouroughly tested my changes with multiple different prompts.
- [X] I have considered potential risks and mitigations for my changes.
- [X] I have documented my changes clearly and comprehensively.
- [X] I have not snuck in any ""extra"" small tweaks changes <!-- Submit these as seperate Pull Reqests, they are the easiest to merge! -->

<!-- If you haven't added tests, please explain why. If you have, check the appropriate box. If you've ensured your PR is atomic and well-documented, check the corresponding boxes. -->

<!-- By submitting this, I agree that my pull request should be closed if I do not fill this out or follow the guide lines. -->
"
4,4,758,"### Background
This change was made to the `ai_config.py` file #185. However, based on a suggestion, the knowledge cutoff was directly added to the `prompt.txt` file. This aims to provide metadata to the AI, enhancing its search coordination and thought processes.

### Changes
A single line was added on top of `prompt.txt` file. The line added is `Knowledge Cutoff Date: Please remember that your knowledge and information are accurate and up-to-date as of September 2021. Please use this information to better coordinate your searches and thoughts.`

### Documentation
Unfortunately, no documentation is made.

### Test Plan
No test was conducted.

### PR Quality Checklist
- [x] My pull request is atomic and focuses on a single change.
- [ ] I have thoroughly tested my changes with multiple different prompts.
- [x] I have considered potential risks and mitigations for my changes.
- [x] I have documented my changes clearly and comprehensively.
- [x] I have not included any ""extra"" small tweaks or changes."
5,5,753,"### Duplicates

- [X] I have searched the existing issues

### Summary 💡

Add `1/0` as alternative to `y/n`

### Examples 🌈

So in
`Continue (y/n)` and `Enter \'y\' to authorise command, \'y -N\' to run N continuous commands, \'n\' to exit program`
we can use
`Continue (1/0)` and `Enter \'1\' to authorise command, \'1 -N\' to run N continuous commands, \'0\' to exit program`

### Motivation 🔦

A user can communicate with Auto-GPT in a language other than English that does not contain the letters `y`, `n`. In this case, the user have to change the keyboard layout between simple and text response to English and back. The numbers are (most likely) the same in any layout."
6,6,749,"Bitcoin handling for payments via bitcoin_utils.py

<!-- 📢 Announcement
We've recently noticed an increase in pull requests focusing on combining multiple changes. While the intentions behind these PRs are appreciated, it's essential to maintain a clean and manageable git history. To ensure the quality of our repository, we kindly ask you to adhere to the following guidelines when submitting PRs:

Focus on a single, specific change.
Do not include any unrelated or ""extra"" modifications.
Provide clear documentation and explanations of the changes made.
Ensure diffs are limited to the intended lines — no applying preferred formatting styles or line endings (unless that's what the PR is about).
For guidance on committing only the specific lines you have changed, refer to this helpful video: https://youtu.be/8-hSNHHbiZg

By following these guidelines, your PRs are more likely to be merged quickly after testing, as long as they align with the project's overall direction. -->

### Background
<!-- Provide a concise overview of the rationale behind this change. Include relevant context, prior discussions, or links to related issues. Ensure that the change aligns with the project's overall direction. -->

### Changes
<!-- Describe the specific, focused change made in this pull request. Detail the modifications clearly and avoid any unrelated or ""extra"" changes. -->

### Documentation
<!-- Explain how your changes are documented, such as in-code comments or external documentation. Ensure that the documentation is clear, concise, and easy to understand. -->

### Test Plan
<!-- Describe how you tested this functionality. Include steps to reproduce, relevant test cases, and any other pertinent information. -->

### PR Quality Checklist
- [ ] My pull request is atomic and focuses on a single change.
- [ ] I have thouroughly tested my changes with multiple different prompts.
- [ ] I have considered potential risks and mitigations for my changes.
- [ ] I have documented my changes clearly and comprehensively.
- [ ] I have not snuck in any ""extra"" small tweaks changes <!-- Submit these as seperate Pull Reqests, they are the easiest to merge! -->

<!-- If you haven't added tests, please explain why. If you have, check the appropriate box. If you've ensured your PR is atomic and well-documented, check the corresponding boxes. -->

<!-- By submitting this, I agree that my pull request should be closed if I do not fill this out or follow the guide lines. -->
"
7,7,727,"### Duplicates

- [X] I have searched the existing issues

### Summary 💡

Currently Auto-GPT writes the entire python or text file at once. If the file gets beyond a few paragraphs this starts to cause issues often time causing json parsing error. Could we somehow have it insert text into an existing file. Maybe we can have it give vim commands to edit it.

Been running a benchmark of having it write a fluid simulation using the lattice boltzmann method. Been running this everyday for a week or so to see the progress of Auto-GPT developments. I think it is very close to working but need this one last bit of functionality.

### Examples 🌈

Here is an example that I think shows gpt is capable of doing it.
![Screenshot from 2023-04-10 12-03-14](https://user-images.githubusercontent.com/4978408/230974929-033d978a-7ede-4bd4-b8dc-d6709afccfb8.png)

![Screenshot from 2023-04-10 12-02-52](https://user-images.githubusercontent.com/4978408/230974919-dad15015-8279-42a5-99d9-5d3094edc19f.png)



### Motivation 🔦

This would allow for Auto-GPT to modify and improve itself "
8,8,718,"**EDIT: Please delete this PR as #697 seems to be a better solution**

Fixes #701 Credits belong to @Moomero

### Background
INVALID JSON errors happen very commonly. 

### Changes
This fix filters better and reduces the amount of such errors.

### PR Quality Checklist
- [x] My pull request is atomic and focuses on a single change.
- [x] I have thoroughly tested my changes with multiple different prompts.
- [x] I have considered potential risks and mitigations for my changes.
- [ ] I have documented my changes clearly and comprehensively.
- [x] I have not snuck in any ""extra"" small tweaks changes"
9,9,691,"Add additional clarification to error message as this is the first check of the model name.  An alternative approach would be to add a verification of the model before this is called.

<!-- 📢 Announcement
We've recently noticed an increase in pull requests focusing on combining multiple changes. While the intentions behind these PRs are appreciated, it's essential to maintain a clean and manageable git history. To ensure the quality of our repository, we kindly ask you to adhere to the following guidelines when submitting PRs:

Focus on a single, specific change.
Do not include any unrelated or ""extra"" modifications.
Provide clear documentation and explanations of the changes made.
Ensure diffs are limited to the intended lines — no applying preferred formatting styles or line endings (unless that's what the PR is about).
For guidance on committing only the specific lines you have changed, refer to this helpful video: https://youtu.be/8-hSNHHbiZg

By following these guidelines, your PRs are more likely to be merged quickly after testing, as long as they align with the project's overall direction. -->

### Background
<!-- Provide a concise overview of the rationale behind this change. Include relevant context, prior discussions, or links to related issues. Ensure that the change aligns with the project's overall direction. -->

### Changes
<!-- Describe the specific, focused change made in this pull request. Detail the modifications clearly and avoid any unrelated or ""extra"" changes. -->

### Documentation
<!-- Explain how your changes are documented, such as in-code comments or external documentation. Ensure that the documentation is clear, concise, and easy to understand. -->

### Test Plan
<!-- Describe how you tested this functionality. Include steps to reproduce, relevant test cases, and any other pertinent information. -->

### PR Quality Checklist
- [ ] My pull request is atomic and focuses on a single change.
- [ ] I have thouroughly tested my changes with multiple different prompts.
- [ ] I have considered potential risks and mitigations for my changes.
- [ ] I have documented my changes clearly and comprehensively.
- [ ] I have not snuck in any ""extra"" small tweaks changes <!-- Submit these as seperate Pull Reqests, they are the easiest to merge! -->

<!-- If you haven't added tests, please explain why. If you have, check the appropriate box. If you've ensured your PR is atomic and well-documented, check the corresponding boxes. -->

<!-- By submitting this, I agree that my pull request should be closed if I do not fill this out or follow the guide lines. -->
"
